time,euler_theta,euler_w,leapfrog_theta,leapfrog_w,rk4_theta,rk4_w
0.000000,1.500000e-01,0.000000e+00,1.500000e-01,0.000000e+00,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03,1.500000e-01,-1.500000e-03,1.500000e-01,-1.550000e-03
0.020000,1.499850e-01,-3.000000e-03,1.499700e-01,-3.000000e-03,1.499844e-01,-3.100000e-03
0.030000,1.499550e-01,-4.499850e-03,1.499400e-01,-4.499400e-03,1.499533e-01,-4.649844e-03
0.040000,1.499100e-01,-5.999400e-03,1.498800e-01,-5.998800e-03,1.499065e-01,-6.199377e-03
0.050000,1.498500e-01,-7.498500e-03,1.498200e-01,-7.497000e-03,1.498442e-01,-7.748442e-03
0.060000,1.497750e-01,-8.997000e-03,1.497301e-01,-8.995200e-03,1.497664e-01,-9.296885e-03
0.070000,1.496851e-01,-1.049475e-02,1.496401e-01,-1.049160e-02,1.496729e-01,-1.084455e-02
0.080000,1.495801e-01,-1.199160e-02,1.495202e-01,-1.198800e-02,1.495639e-01,-1.239128e-02
0.090000,1.494602e-01,-1.348740e-02,1.494004e-01,-1.348201e-02,1.494394e-01,-1.393692e-02
0.100000,1.493253e-01,-1.498200e-02,1.492506e-01,-1.497601e-02,1.492993e-01,-1.548131e-02
0.110000,1.491755e-01,-1.647526e-02,1.491008e-01,-1.646702e-02,1.491437e-01,-1.702430e-02
0.120000,1.490107e-01,-1.796701e-02,1.489213e-01,-1.795803e-02,1.489726e-01,-1.856574e-02
0.130000,1.488311e-01,-1.945712e-02,1.487417e-01,-1.944544e-02,1.487861e-01,-2.010547e-02
0.140000,1.486365e-01,-2.094543e-02,1.485324e-01,-2.093286e-02,1.485840e-01,-2.164333e-02
0.150000,1.484270e-01,-2.243180e-02,1.483230e-01,-2.241609e-02,1.483665e-01,-2.317917e-02
0.160000,1.482027e-01,-2.391607e-02,1.480840e-01,-2.389932e-02,1.481335e-01,-2.471283e-02
0.170000,1.479636e-01,-2.539809e-02,1.478450e-01,-2.537777e-02,1.478851e-01,-2.624417e-02
0.180000,1.477096e-01,-2.687773e-02,1.475765e-01,-2.685622e-02,1.476214e-01,-2.777302e-02
0.190000,1.474408e-01,-2.835482e-02,1.473079e-01,-2.832930e-02,1.473423e-01,-2.929923e-02
0.200000,1.471573e-01,-2.982923e-02,1.470099e-01,-2.980238e-02,1.470478e-01,-3.082266e-02
0.210000,1.468590e-01,-3.130081e-02,1.467119e-01,-3.126950e-02,1.467380e-01,-3.234313e-02
0.220000,1.465460e-01,-3.276939e-02,1.463845e-01,-3.273662e-02,1.464130e-01,-3.386051e-02
0.230000,1.462183e-01,-3.423485e-02,1.460571e-01,-3.419719e-02,1.460727e-01,-3.537464e-02
0.240000,1.458759e-01,-3.569704e-02,1.457006e-01,-3.565776e-02,1.457172e-01,-3.688537e-02
0.250000,1.455189e-01,-3.715580e-02,1.453440e-01,-3.711120e-02,1.453464e-01,-3.839254e-02
0.260000,1.451474e-01,-3.861099e-02,1.449583e-01,-3.856464e-02,1.449606e-01,-3.989601e-02
0.270000,1.447613e-01,-4.006246e-02,1.445727e-01,-4.001037e-02,1.445596e-01,-4.139561e-02
0.280000,1.443607e-01,-4.151007e-02,1.441581e-01,-4.145609e-02,1.441436e-01,-4.289121e-02
0.290000,1.439456e-01,-4.295368e-02,1.437436e-01,-4.289353e-02,1.437125e-01,-4.438265e-02
0.300000,1.435160e-01,-4.439313e-02,1.433003e-01,-4.433096e-02,1.432665e-01,-4.586977e-02
0.310000,1.430721e-01,-4.582829e-02,1.428569e-01,-4.575953e-02,1.428055e-01,-4.735244e-02
0.320000,1.426138e-01,-4.725902e-02,1.423851e-01,-4.718810e-02,1.423296e-01,-4.883049e-02
0.330000,1.421412e-01,-4.868515e-02,1.419132e-01,-4.860723e-02,1.418388e-01,-5.030379e-02
0.340000,1.416544e-01,-5.010657e-02,1.414129e-01,-5.002637e-02,1.413333e-01,-5.177217e-02
0.350000,1.411533e-01,-5.152311e-02,1.409127e-01,-5.143549e-02,1.408130e-01,-5.323551e-02
0.360000,1.406381e-01,-5.293464e-02,1.403842e-01,-5.284462e-02,1.402779e-01,-5.469364e-02
0.370000,1.401087e-01,-5.434102e-02,1.398558e-01,-5.424318e-02,1.397282e-01,-5.614642e-02
0.380000,1.395653e-01,-5.574211e-02,1.392993e-01,-5.564173e-02,1.391640e-01,-5.759370e-02
0.390000,1.390079e-01,-5.713776e-02,1.387429e-01,-5.702916e-02,1.385851e-01,-5.903534e-02
0.400000,1.384365e-01,-5.852784e-02,1.381588e-01,-5.841659e-02,1.379918e-01,-6.047119e-02
0.410000,1.378512e-01,-5.991221e-02,1.375746e-01,-5.979234e-02,1.373841e-01,-6.190111e-02
0.420000,1.372521e-01,-6.129072e-02,1.369629e-01,-6.116809e-02,1.367620e-01,-6.332495e-02
0.430000,1.366392e-01,-6.266324e-02,1.363512e-01,-6.253160e-02,1.361255e-01,-6.474257e-02
0.440000,1.360126e-01,-6.402963e-02,1.357123e-01,-6.389511e-02,1.354749e-01,-6.615382e-02
0.450000,1.353723e-01,-6.538976e-02,1.350733e-01,-6.524584e-02,1.348100e-01,-6.755857e-02
0.460000,1.347184e-01,-6.674348e-02,1.344074e-01,-6.659658e-02,1.341310e-01,-6.895667e-02
0.470000,1.340509e-01,-6.809066e-02,1.337414e-01,-6.793399e-02,1.334380e-01,-7.034798e-02
0.480000,1.333700e-01,-6.943117e-02,1.330487e-01,-6.927140e-02,1.327310e-01,-7.173236e-02
0.490000,1.326757e-01,-7.076487e-02,1.323560e-01,-7.059496e-02,1.320101e-01,-7.310967e-02
0.500000,1.319681e-01,-7.209163e-02,1.316368e-01,-7.191852e-02,1.312753e-01,-7.447977e-02
0.510000,1.312472e-01,-7.341131e-02,1.309176e-01,-7.322770e-02,1.305268e-01,-7.584253e-02
0.520000,1.305130e-01,-7.472378e-02,1.301722e-01,-7.453688e-02,1.297645e-01,-7.719779e-02
0.530000,1.297658e-01,-7.602891e-02,1.294269e-01,-7.583114e-02,1.289887e-01,-7.854544e-02
0.540000,1.290055e-01,-7.732657e-02,1.286556e-01,-7.712541e-02,1.281993e-01,-7.988533e-02
0.550000,1.282323e-01,-7.861663e-02,1.278844e-01,-7.840426e-02,1.273964e-01,-8.121732e-02
0.560000,1.274461e-01,-7.989895e-02,1.270875e-01,-7.968310e-02,1.265802e-01,-8.254128e-02
0.570000,1.266471e-01,-8.117341e-02,1.262907e-01,-8.094601e-02,1.257506e-01,-8.385709e-02
0.580000,1.258354e-01,-8.243988e-02,1.254686e-01,-8.220891e-02,1.249079e-01,-8.516459e-02
0.590000,1.250110e-01,-8.369824e-02,1.246465e-01,-8.345538e-02,1.240519e-01,-8.646367e-02
0.600000,1.241740e-01,-8.494835e-02,1.237995e-01,-8.470184e-02,1.231830e-01,-8.775419e-02
0.610000,1.233245e-01,-8.619009e-02,1.229525e-01,-8.593137e-02,1.223010e-01,-8.903602e-02
0.620000,1.224626e-01,-8.742333e-02,1.220809e-01,-8.716089e-02,1.214062e-01,-9.030903e-02
0.630000,1.215884e-01,-8.864796e-02,1.212093e-01,-8.837299e-02,1.204986e-01,-9.157309e-02
0.640000,1.207019e-01,-8.986384e-02,1.203134e-01,-8.958508e-02,1.195782e-01,-9.282808e-02
0.650000,1.198032e-01,-9.107086e-02,1.194176e-01,-9.077925e-02,1.186453e-01,-9.407386e-02
0.660000,1.188925e-01,-9.226889e-02,1.184978e-01,-9.197343e-02,1.176999e-01,-9.531031e-02
0.670000,1.179698e-01,-9.345782e-02,1.175781e-01,-9.314921e-02,1.167420e-01,-9.653731e-02
0.680000,1.170353e-01,-9.463752e-02,1.166348e-01,-9.432499e-02,1.157718e-01,-9.775473e-02
0.690000,1.160889e-01,-9.580787e-02,1.156916e-01,-9.548191e-02,1.147893e-01,-9.896245e-02
0.700000,1.151308e-01,-9.696876e-02,1.147252e-01,-9.663882e-02,1.137947e-01,-1.001603e-01
0.710000,1.141611e-01,-9.812006e-02,1.137588e-01,-9.777641e-02,1.127881e-01,-1.013483e-01
0.720000,1.131799e-01,-9.926168e-02,1.127697e-01,-9.891400e-02,1.117695e-01,-1.025262e-01
0.730000,1.121873e-01,-1.003935e-01,1.117805e-01,-1.000318e-01,1.107391e-01,-1.036939e-01
0.740000,1.111834e-01,-1.015153e-01,1.107690e-01,-1.011496e-01,1.096970e-01,-1.048513e-01
0.750000,1.101682e-01,-1.026272e-01,1.097575e-01,-1.022472e-01,1.086432e-01,-1.059982e-01
0.760000,1.091420e-01,-1.037289e-01,1.087241e-01,-1.033448e-01,1.075779e-01,-1.071347e-01
0.770000,1.081047e-01,-1.048203e-01,1.076906e-01,-1.044217e-01,1.065012e-01,-1.082604e-01
0.780000,1.070565e-01,-1.059013e-01,1.066357e-01,-1.054986e-01,1.054131e-01,-1.093754e-01
0.790000,1.059974e-01,-1.069719e-01,1.055807e-01,-1.065544e-01,1.043139e-01,-1.104796e-01
0.800000,1.049277e-01,-1.080319e-01,1.045046e-01,-1.076102e-01,1.032036e-01,-1.115727e-01
0.810000,1.038474e-01,-1.090811e-01,1.034285e-01,-1.086445e-01,1.020822e-01,-1.126548e-01
0.820000,1.027566e-01,-1.101196e-01,1.023317e-01,-1.096788e-01,1.009500e-01,-1.137256e-01
0.830000,1.016554e-01,-1.111472e-01,1.012349e-01,-1.106911e-01,9.980708e-02,-1.147851e-01
0.840000,1.005439e-01,-1.121637e-01,1.001179e-01,-1.117035e-01,9.865347e-02,-1.158331e-01
0.850000,9.942229e-02,-1.131692e-01,9.900083e-02,-1.126935e-01,9.748933e-02,-1.168697e-01
0.860000,9.829060e-02,-1.141634e-01,9.786399e-02,-1.136835e-01,9.631477e-02,-1.178946e-01
