time,euler_theta,euler_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03
0.020000,1.499850e-01,-2.999388e-03
0.030000,1.499550e-01,-4.498015e-03
0.040000,1.499100e-01,-5.995731e-03
0.050000,1.498501e-01,-7.492387e-03
0.060000,1.497751e-01,-8.987833e-03
0.070000,1.496853e-01,-1.048192e-02
0.080000,1.495804e-01,-1.197450e-02
0.090000,1.494607e-01,-1.346542e-02
0.100000,1.493260e-01,-1.495454e-02
0.110000,1.491765e-01,-1.644170e-02
0.120000,1.490121e-01,-1.792676e-02
0.130000,1.488328e-01,-1.940957e-02
0.140000,1.486387e-01,-2.088999e-02
0.150000,1.484298e-01,-2.236785e-02
0.160000,1.482061e-01,-2.384303e-02
0.170000,1.479677e-01,-2.531537e-02
0.180000,1.477146e-01,-2.678473e-02
0.190000,1.474467e-01,-2.825095e-02
0.200000,1.471642e-01,-2.971390e-02
0.210000,1.468671e-01,-3.117343e-02
0.220000,1.465553e-01,-3.262939e-02
0.230000,1.462290e-01,-3.408163e-02
0.240000,1.458882e-01,-3.553003e-02
0.250000,1.455329e-01,-3.697442e-02
0.260000,1.451632e-01,-3.841468e-02
0.270000,1.447790e-01,-3.985064e-02
0.280000,1.443805e-01,-4.128219e-02
0.290000,1.439677e-01,-4.270916e-02
0.300000,1.435406e-01,-4.413142e-02
0.310000,1.430993e-01,-4.554883e-02
0.320000,1.426438e-01,-4.696125e-02
0.330000,1.421742e-01,-4.836854e-02
0.340000,1.416905e-01,-4.977056e-02
0.350000,1.411928e-01,-5.116717e-02
0.360000,1.406811e-01,-5.255824e-02
0.370000,1.401555e-01,-5.394362e-02
0.380000,1.396161e-01,-5.532318e-02
0.390000,1.390629e-01,-5.669678e-02
0.400000,1.384959e-01,-5.806429e-02
0.410000,1.379153e-01,-5.942558e-02
0.420000,1.373210e-01,-6.078050e-02
0.430000,1.367132e-01,-6.212893e-02
0.440000,1.360919e-01,-6.347072e-02
0.450000,1.354572e-01,-6.480576e-02
0.460000,1.348092e-01,-6.613391e-02
0.470000,1.341478e-01,-6.745504e-02
0.480000,1.334733e-01,-6.876901e-02
0.490000,1.327856e-01,-7.007570e-02
0.500000,1.320848e-01,-7.137499e-02
0.510000,1.313711e-01,-7.266673e-02
0.520000,1.306444e-01,-7.395081e-02
0.530000,1.299049e-01,-7.522710e-02
0.540000,1.291526e-01,-7.649548e-02
0.550000,1.283877e-01,-7.775581e-02
0.560000,1.276101e-01,-7.900799e-02
0.570000,1.268200e-01,-8.025187e-02
0.580000,1.260175e-01,-8.148735e-02
0.590000,1.252026e-01,-8.271430e-02
0.600000,1.243755e-01,-8.393260e-02
0.610000,1.235362e-01,-8.514213e-02
0.620000,1.226847e-01,-8.634277e-02
0.630000,1.218213e-01,-8.753442e-02
0.640000,1.209460e-01,-8.871694e-02
0.650000,1.200588e-01,-8.989022e-02
0.660000,1.191599e-01,-9.105416e-02
0.670000,1.182494e-01,-9.220863e-02
0.680000,1.173273e-01,-9.335353e-02
0.690000,1.163937e-01,-9.448873e-02
0.700000,1.154489e-01,-9.561414e-02
0.710000,1.144927e-01,-9.672965e-02
0.720000,1.135254e-01,-9.783513e-02
0.730000,1.125471e-01,-9.893049e-02
0.740000,1.115578e-01,-1.000156e-01
0.750000,1.105576e-01,-1.010904e-01
0.760000,1.095467e-01,-1.021548e-01
0.770000,1.085252e-01,-1.032086e-01
0.780000,1.074931e-01,-1.042518e-01
0.790000,1.064505e-01,-1.052842e-01
0.800000,1.053977e-01,-1.063058e-01
0.810000,1.043346e-01,-1.073164e-01
0.820000,1.032615e-01,-1.083160e-01
0.830000,1.021783e-01,-1.093044e-01
0.840000,1.010853e-01,-1.102816e-01
0.850000,9.998246e-02,-1.112475e-01
0.860000,9.886999e-02,-1.122020e-01
0.870000,9.774797e-02,-1.131449e-01
0.880000,9.661652e-02,-1.140763e-01
0.890000,9.547576e-02,-1.149959e-01
0.900000,9.432580e-02,-1.159038e-01
0.910000,9.316676e-02,-1.167998e-01
0.920000,9.199876e-02,-1.176838e-01
0.930000,9.082192e-02,-1.185559e-01
0.940000,8.963636e-02,-1.194157e-01
0.950000,8.844221e-02,-1.202634e-01
0.960000,8.723957e-02,-1.210988e-01
0.970000,8.602858e-02,-1.219218e-01
0.980000,8.480937e-02,-1.227324e-01
0.990000,8.358204e-02,-1.235304e-01
1.000000,8.234674e-02,-1.243159e-01
1.010000,8.110358e-02,-1.250887e-01
1.020000,7.985269e-02,-1.258487e-01
1.030000,7.859421e-02,-1.265959e-01
1.040000,7.732825e-02,-1.273302e-01
1.050000,7.605494e-02,-1.280516e-01
1.060000,7.477443e-02,-1.287599e-01
1.070000,7.348683e-02,-1.294552e-01
1.080000,7.219228e-02,-1.301372e-01
1.090000,7.089090e-02,-1.308061e-01
1.100000,6.958284e-02,-1.314617e-01
1.110000,6.826823e-02,-1.321039e-01
1.120000,6.694719e-02,-1.327327e-01
1.130000,6.561986e-02,-1.333481e-01
1.140000,6.428638e-02,-1.339499e-01
1.150000,6.294688e-02,-1.345381e-01
1.160000,6.160150e-02,-1.351128e-01
1.170000,6.025037e-02,-1.356737e-01
1.180000,5.889363e-02,-1.362209e-01
1.190000,5.753143e-02,-1.367543e-01
1.200000,5.616388e-02,-1.372738e-01
1.210000,5.479115e-02,-1.377795e-01
1.220000,5.341335e-02,-1.382712e-01
1.230000,5.203064e-02,-1.387490e-01
1.240000,5.064315e-02,-1.392127e-01
1.250000,4.925102e-02,-1.396624e-01
1.260000,4.785440e-02,-1.400979e-01
1.270000,4.645342e-02,-1.405193e-01
1.280000,4.504823e-02,-1.409266e-01
1.290000,4.363896e-02,-1.413196e-01
1.300000,4.222576e-02,-1.416984e-01
1.310000,4.080878e-02,-1.420629e-01
1.320000,3.938815e-02,-1.424130e-01
1.330000,3.796402e-02,-1.427488e-01
1.340000,3.653653e-02,-1.430703e-01
1.350000,3.510583e-02,-1.433773e-01
1.360000,3.367206e-02,-1.436699e-01
1.370000,3.223536e-02,-1.439480e-01
1.380000,3.079588e-02,-1.442117e-01
1.390000,2.935376e-02,-1.444608e-01
1.400000,2.790915e-02,-1.446955e-01
1.410000,2.646220e-02,-1.449156e-01
1.420000,2.501304e-02,-1.451211e-01
1.430000,2.356183e-02,-1.453121e-01
1.440000,2.210871e-02,-1.454884e-01
1.450000,2.065383e-02,-1.456502e-01
1.460000,1.919733e-02,-1.457973e-01
1.470000,1.773935e-02,-1.459299e-01
1.480000,1.628005e-02,-1.460478e-01
1.490000,1.481958e-02,-1.461510e-01
1.500000,1.335807e-02,-1.462396e-01
1.510000,1.189567e-02,-1.463136e-01
1.520000,1.043253e-02,-1.463729e-01
