time,leapfrog_theta,leapfrog_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03
0.020000,1.499700e-01,-2.999694e-03
0.030000,1.499400e-01,-4.498788e-03
0.040000,1.498800e-01,-5.997577e-03
0.050000,1.498201e-01,-7.495166e-03
0.060000,1.497301e-01,-8.992450e-03
0.070000,1.496402e-01,-1.048794e-02
0.080000,1.495204e-01,-1.198312e-02
0.090000,1.494005e-01,-1.347590e-02
0.100000,1.492508e-01,-1.496838e-02
0.110000,1.491012e-01,-1.645786e-02
0.120000,1.489217e-01,-1.794705e-02
0.130000,1.487422e-01,-1.943264e-02
0.140000,1.485330e-01,-2.091793e-02
0.150000,1.483239e-01,-2.239904e-02
0.160000,1.480851e-01,-2.387984e-02
0.170000,1.478463e-01,-2.535587e-02
0.180000,1.475779e-01,-2.683160e-02
0.190000,1.473096e-01,-2.830196e-02
0.200000,1.470119e-01,-2.977202e-02
0.210000,1.467142e-01,-3.123612e-02
0.220000,1.463872e-01,-3.269994e-02
0.230000,1.460602e-01,-3.415720e-02
0.240000,1.457040e-01,-3.561418e-02
0.250000,1.453479e-01,-3.706402e-02
0.260000,1.449627e-01,-3.851358e-02
0.270000,1.445777e-01,-3.995542e-02
0.280000,1.441636e-01,-4.139699e-02
0.290000,1.437497e-01,-4.283026e-02
0.300000,1.433070e-01,-4.426325e-02
0.310000,1.428644e-01,-4.568737e-02
0.320000,1.423933e-01,-4.711122e-02
0.330000,1.419222e-01,-4.852564e-02
0.340000,1.414228e-01,-4.993977e-02
0.350000,1.409234e-01,-5.134391e-02
0.360000,1.403959e-01,-5.274778e-02
0.370000,1.398685e-01,-5.414107e-02
0.380000,1.393131e-01,-5.553411e-02
0.390000,1.387578e-01,-5.691601e-02
0.400000,1.381748e-01,-5.829766e-02
0.410000,1.375918e-01,-5.966762e-02
0.420000,1.369814e-01,-6.103733e-02
0.430000,1.363711e-01,-6.239481e-02
0.440000,1.357335e-01,-6.375203e-02
0.450000,1.350961e-01,-6.509648e-02
0.460000,1.344316e-01,-6.644068e-02
0.470000,1.337672e-01,-6.777157e-02
0.480000,1.330761e-01,-6.910221e-02
0.490000,1.323852e-01,-7.041900e-02
0.500000,1.316678e-01,-7.173556e-02
0.510000,1.309505e-01,-7.303773e-02
0.520000,1.302070e-01,-7.433968e-02
0.530000,1.294637e-01,-7.562672e-02
0.540000,1.286945e-01,-7.691353e-02
0.550000,1.279254e-01,-7.818492e-02
0.560000,1.271308e-01,-7.945610e-02
0.570000,1.263363e-01,-8.071134e-02
0.580000,1.255166e-01,-8.196637e-02
0.590000,1.246970e-01,-8.320496e-02
0.600000,1.238525e-01,-8.444335e-02
0.610000,1.230081e-01,-8.566479e-02
0.620000,1.221392e-01,-8.688604e-02
0.630000,1.212704e-01,-8.808986e-02
0.640000,1.203774e-01,-8.929349e-02
0.650000,1.194845e-01,-9.047921e-02
0.660000,1.185678e-01,-9.166474e-02
0.670000,1.176512e-01,-9.283187e-02
0.680000,1.167111e-01,-9.399884e-02
0.690000,1.157712e-01,-9.514693e-02
0.700000,1.148082e-01,-9.629486e-02
0.710000,1.138453e-01,-9.742346e-02
0.720000,1.128597e-01,-9.855191e-02
0.730000,1.118743e-01,-9.966057e-02
0.740000,1.108665e-01,-1.007691e-01
0.750000,1.098589e-01,-1.018574e-01
0.760000,1.088294e-01,-1.029455e-01
0.770000,1.078000e-01,-1.040130e-01
0.780000,1.067491e-01,-1.050803e-01
0.790000,1.056984e-01,-1.061265e-01
0.800000,1.046266e-01,-1.071726e-01
0.810000,1.035550e-01,-1.081972e-01
0.820000,1.024626e-01,-1.092217e-01
0.830000,1.013705e-01,-1.102242e-01
0.840000,1.002582e-01,-1.112266e-01
0.850000,9.914599e-02,-1.122067e-01
0.860000,9.801402e-02,-1.131866e-01
0.870000,9.688226e-02,-1.141439e-01
0.880000,9.573114e-02,-1.151010e-01
0.890000,9.458024e-02,-1.160350e-01
0.900000,9.341044e-02,-1.169690e-01
0.910000,9.224086e-02,-1.178794e-01
0.920000,9.105286e-02,-1.187897e-01
0.930000,8.986506e-02,-1.196762e-01
0.940000,8.865933e-02,-1.205626e-01
0.950000,8.745381e-02,-1.214248e-01
0.960000,8.623083e-02,-1.222870e-01
0.970000,8.500807e-02,-1.231245e-01
0.980000,8.376834e-02,-1.239620e-01
0.990000,8.252883e-02,-1.247746e-01
1.000000,8.127285e-02,-1.255872e-01
1.010000,8.001709e-02,-1.263745e-01
1.020000,7.874536e-02,-1.271617e-01
1.030000,7.747385e-02,-1.279235e-01
1.040000,7.618689e-02,-1.286851e-01
1.050000,7.490015e-02,-1.294210e-01
1.060000,7.359847e-02,-1.301568e-01
1.070000,7.229701e-02,-1.308664e-01
1.080000,7.098115e-02,-1.315760e-01
1.090000,6.966549e-02,-1.322592e-01
1.100000,6.833596e-02,-1.329424e-01
1.110000,6.700665e-02,-1.335988e-01
1.120000,6.566399e-02,-1.342553e-01
1.130000,6.432154e-02,-1.348847e-01
1.140000,6.296629e-02,-1.355142e-01
1.150000,6.161126e-02,-1.361164e-01
1.160000,6.024396e-02,-1.367187e-01
1.170000,5.887688e-02,-1.372934e-01
1.180000,5.749810e-02,-1.378682e-01
1.190000,5.611952e-02,-1.384153e-01
1.200000,5.472979e-02,-1.389624e-01
1.210000,5.334027e-02,-1.394815e-01
1.220000,5.194016e-02,-1.400008e-01
1.230000,5.054026e-02,-1.404918e-01
1.240000,4.913032e-02,-1.409829e-01
1.250000,4.772060e-02,-1.414457e-01
1.260000,4.630141e-02,-1.419085e-01
1.270000,4.488243e-02,-1.423428e-01
1.280000,4.345456e-02,-1.427771e-01
1.290000,4.202689e-02,-1.431827e-01
1.300000,4.059090e-02,-1.435885e-01
1.310000,3.915512e-02,-1.439653e-01
1.320000,3.771160e-02,-1.443422e-01
1.330000,3.626827e-02,-1.446901e-01
1.340000,3.481779e-02,-1.450381e-01
1.350000,3.336751e-02,-1.453569e-01
1.360000,3.191066e-02,-1.456758e-01
1.370000,3.045400e-02,-1.459654e-01
1.380000,2.899135e-02,-1.462551e-01
1.390000,2.752889e-02,-1.465154e-01
1.400000,2.606104e-02,-1.467758e-01
1.410000,2.459338e-02,-1.470067e-01
1.420000,2.312091e-02,-1.472377e-01
1.430000,2.164862e-02,-1.474391e-01
1.440000,2.017213e-02,-1.476406e-01
1.450000,1.869581e-02,-1.478124e-01
1.460000,1.721588e-02,-1.479844e-01
1.470000,1.573612e-02,-1.481266e-01
1.480000,1.425334e-02,-1.482689e-01
1.490000,1.277074e-02,-1.483814e-01
1.500000,1.128572e-02,-1.484941e-01
1.510000,9.800860e-03,-1.485769e-01
1.520000,8.314179e-03,-1.486598e-01
