time,rk4_theta,rk4_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.549219e-03
0.020000,1.499844e-01,-3.096859e-03
0.030000,1.499533e-01,-4.642767e-03
0.040000,1.499066e-01,-6.186789e-03
0.050000,1.498445e-01,-7.728771e-03
0.060000,1.497668e-01,-9.268561e-03
0.070000,1.496736e-01,-1.080601e-02
0.080000,1.495650e-01,-1.234095e-02
0.090000,1.494410e-01,-1.387325e-02
0.100000,1.493016e-01,-1.540275e-02
0.110000,1.491468e-01,-1.692929e-02
0.120000,1.489766e-01,-1.845273e-02
0.130000,1.487912e-01,-1.997292e-02
0.140000,1.485905e-01,-2.148971e-02
0.150000,1.483745e-01,-2.300295e-02
0.160000,1.481433e-01,-2.451248e-02
0.170000,1.478969e-01,-2.601817e-02
0.180000,1.476355e-01,-2.751986e-02
0.190000,1.473589e-01,-2.901741e-02
0.200000,1.470672e-01,-3.051066e-02
0.210000,1.467606e-01,-3.199948e-02
0.220000,1.464390e-01,-3.348372e-02
0.230000,1.461025e-01,-3.496323e-02
0.240000,1.457511e-01,-3.643788e-02
0.250000,1.453849e-01,-3.790750e-02
0.260000,1.450039e-01,-3.937197e-02
0.270000,1.446082e-01,-4.083114e-02
0.280000,1.441979e-01,-4.228487e-02
0.290000,1.437729e-01,-4.373301e-02
0.300000,1.433334e-01,-4.517544e-02
0.310000,1.428794e-01,-4.661200e-02
0.320000,1.424109e-01,-4.804255e-02
0.330000,1.419281e-01,-4.946697e-02
0.340000,1.414309e-01,-5.088511e-02
0.350000,1.409195e-01,-5.229684e-02
0.360000,1.403939e-01,-5.370202e-02
0.370000,1.398542e-01,-5.510051e-02
0.380000,1.393004e-01,-5.649218e-02
0.390000,1.387327e-01,-5.787690e-02
0.400000,1.381510e-01,-5.925454e-02
0.410000,1.375555e-01,-6.062496e-02
0.420000,1.369462e-01,-6.198803e-02
0.430000,1.363232e-01,-6.334362e-02
0.440000,1.356866e-01,-6.469160e-02
0.450000,1.350364e-01,-6.603185e-02
0.460000,1.343728e-01,-6.736423e-02
0.470000,1.336958e-01,-6.868862e-02
0.480000,1.330054e-01,-7.000490e-02
0.490000,1.323019e-01,-7.131293e-02
0.500000,1.315852e-01,-7.261260e-02
0.510000,1.308554e-01,-7.390379e-02
0.520000,1.301127e-01,-7.518636e-02
0.530000,1.293570e-01,-7.646020e-02
0.540000,1.285886e-01,-7.772520e-02
0.550000,1.278074e-01,-7.898122e-02
0.560000,1.270137e-01,-8.022816e-02
0.570000,1.262074e-01,-8.146589e-02
0.580000,1.253886e-01,-8.269430e-02
0.590000,1.245575e-01,-8.391328e-02
0.600000,1.237142e-01,-8.512271e-02
0.610000,1.228587e-01,-8.632247e-02
0.620000,1.219911e-01,-8.751247e-02
0.630000,1.211116e-01,-8.869258e-02
0.640000,1.202202e-01,-8.986270e-02
0.650000,1.193171e-01,-9.102271e-02
0.660000,1.184023e-01,-9.217252e-02
0.670000,1.174760e-01,-9.331201e-02
0.680000,1.165382e-01,-9.444109e-02
0.690000,1.155890e-01,-9.555964e-02
0.700000,1.146286e-01,-9.666756e-02
0.710000,1.136571e-01,-9.776475e-02
0.720000,1.126745e-01,-9.885112e-02
0.730000,1.116811e-01,-9.992656e-02
0.740000,1.106768e-01,-1.009910e-01
0.750000,1.096618e-01,-1.020443e-01
0.760000,1.086362e-01,-1.030863e-01
0.770000,1.076002e-01,-1.041171e-01
0.780000,1.065538e-01,-1.051365e-01
0.790000,1.054972e-01,-1.061443e-01
0.800000,1.044304e-01,-1.071406e-01
0.810000,1.033536e-01,-1.081252e-01
0.820000,1.022670e-01,-1.090980e-01
0.830000,1.011705e-01,-1.100590e-01
0.840000,1.000644e-01,-1.110080e-01
0.850000,9.894874e-02,-1.119451e-01
0.860000,9.782367e-02,-1.128700e-01
0.870000,9.668931e-02,-1.137827e-01
0.880000,9.554578e-02,-1.146831e-01
0.890000,9.439319e-02,-1.155713e-01
0.900000,9.323168e-02,-1.164469e-01
0.910000,9.206137e-02,-1.173101e-01
0.920000,9.088238e-02,-1.181607e-01
0.930000,8.969485e-02,-1.189987e-01
0.940000,8.849889e-02,-1.198239e-01
0.950000,8.729464e-02,-1.206364e-01
0.960000,8.608223e-02,-1.214359e-01
0.970000,8.486177e-02,-1.222226e-01
0.980000,8.363342e-02,-1.229962e-01
0.990000,8.239728e-02,-1.237568e-01
1.000000,8.115351e-02,-1.245042e-01
1.010000,7.990222e-02,-1.252385e-01
1.020000,7.864355e-02,-1.259595e-01
1.030000,7.737764e-02,-1.266672e-01
1.040000,7.610461e-02,-1.273615e-01
1.050000,7.482461e-02,-1.280424e-01
1.060000,7.353776e-02,-1.287098e-01
