time,euler_T,euler_U, euler_E,leapfrog_T,leapfrog_U, leapfrog_E,rk4_T,rk4_U, rk4_E
0.000000,0.000000e+00,1.080628e+00,1.080628e+00,0.000000e+00,1.080628e+00,1.080628e+00,0.000000e+00,1.080628e+00,1.080628e+00
0.010000,1.082656e-04,1.080628e+00,1.080736e+00,1.082656e-04,1.080628e+00,1.080736e+00,1.155803e-04,1.080628e+00,1.080743e+00
0.020000,4.329742e-04,1.080412e+00,1.080845e+00,4.328859e-04,1.080196e+00,1.080629e+00,4.622270e-04,1.080404e+00,1.080866e+00
0.030000,9.739283e-04,1.079981e+00,1.080955e+00,9.736012e-04,1.079765e+00,1.080739e+00,1.039729e-03,1.079956e+00,1.080996e+00
0.040000,1.730844e-03,1.079334e+00,1.081065e+00,1.730145e-03,1.078903e+00,1.080633e+00,1.847783e-03,1.079284e+00,1.081132e+00
0.050000,2.703352e-03,1.078472e+00,1.081175e+00,2.701830e-03,1.078042e+00,1.080744e+00,2.885992e-03,1.078389e+00,1.081275e+00
0.060000,3.890995e-03,1.077395e+00,1.081286e+00,3.888647e-03,1.076751e+00,1.080639e+00,4.153867e-03,1.077271e+00,1.081425e+00
0.070000,5.293232e-03,1.076105e+00,1.081398e+00,5.289133e-03,1.075461e+00,1.080750e+00,5.650829e-03,1.075931e+00,1.081582e+00
0.080000,6.909434e-03,1.074600e+00,1.081509e+00,6.903883e-03,1.073743e+00,1.080646e+00,7.376202e-03,1.074369e+00,1.081745e+00
0.090000,8.738888e-03,1.072882e+00,1.081621e+00,8.730318e-03,1.072026e+00,1.080757e+00,9.329225e-03,1.072585e+00,1.081914e+00
0.100000,1.078080e-02,1.070952e+00,1.081732e+00,1.076998e-02,1.069884e+00,1.080654e+00,1.150904e-02,1.070581e+00,1.082090e+00
0.110000,1.303427e-02,1.068810e+00,1.081844e+00,1.301883e-02,1.067745e+00,1.080763e+00,1.391470e-02,1.068357e+00,1.082272e+00
0.120000,1.549835e-02,1.066457e+00,1.081955e+00,1.547971e-02,1.065182e+00,1.080661e+00,1.654517e-02,1.065915e+00,1.082460e+00
0.130000,1.817198e-02,1.063894e+00,1.082066e+00,1.814678e-02,1.062623e+00,1.080769e+00,1.939931e-02,1.063254e+00,1.082654e+00
0.140000,2.105403e-02,1.061123e+00,1.082177e+00,2.102451e-02,1.059643e+00,1.080667e+00,2.247592e-02,1.060377e+00,1.082853e+00
