time,euler_T,euler_U,euler_E
0.000000,0.000000e+00,1.080628e+00,1.080628e+00
0.010000,1.082656e-04,1.080628e+00,1.080736e+00
0.020000,4.326211e-04,1.080412e+00,1.080845e+00
0.030000,9.723408e-04,1.079981e+00,1.080953e+00
0.040000,1.726614e-03,1.079335e+00,1.081061e+00
0.050000,2.694547e-03,1.078474e+00,1.081168e+00
0.060000,3.875162e-03,1.077399e+00,1.081274e+00
0.070000,5.267397e-03,1.076111e+00,1.081378e+00
0.080000,6.870108e-03,1.074610e+00,1.081480e+00
0.090000,8.682071e-03,1.072897e+00,1.081579e+00
0.100000,1.070198e-02,1.070973e+00,1.081675e+00
0.110000,1.292844e-02,1.068839e+00,1.081767e+00
0.120000,1.536000e-02,1.066495e+00,1.081855e+00
0.130000,1.799510e-02,1.063944e+00,1.081939e+00
0.140000,2.083212e-02,1.061186e+00,1.082018e+00
0.150000,2.386936e-02,1.058223e+00,1.082092e+00
0.160000,2.710504e-02,1.055055e+00,1.082160e+00
0.170000,3.053730e-02,1.051685e+00,1.082222e+00
0.180000,3.416422e-02,1.048114e+00,1.082278e+00
0.190000,3.798378e-02,1.044343e+00,1.082327e+00
0.200000,4.199392e-02,1.040374e+00,1.082368e+00
0.210000,4.619249e-02,1.036209e+00,1.082402e+00
0.220000,5.057726e-02,1.031850e+00,1.082427e+00
0.230000,5.514595e-02,1.027298e+00,1.082444e+00
0.240000,5.989618e-02,1.022556e+00,1.082452e+00
0.250000,6.482555e-02,1.017626e+00,1.082451e+00
0.260000,6.993154e-02,1.012509e+00,1.082440e+00
0.270000,7.521161e-02,1.007208e+00,1.082419e+00
0.280000,8.066313e-02,1.001725e+00,1.082388e+00
0.290000,8.628340e-02,9.960626e-01,1.082346e+00
0.300000,9.206967e-02,9.902231e-01,1.082293e+00
0.310000,9.801914e-02,9.842089e-01,1.082228e+00
0.320000,1.041289e-01,9.780225e-01,1.082151e+00
0.330000,1.103961e-01,9.716666e-01,1.082063e+00
0.340000,1.168177e-01,9.651437e-01,1.081961e+00
0.350000,1.233906e-01,9.584566e-01,1.081847e+00
0.360000,1.301118e-01,9.516080e-01,1.081720e+00
0.370000,1.369781e-01,9.446008e-01,1.081579e+00
0.380000,1.439864e-01,9.374379e-01,1.081424e+00
0.390000,1.511332e-01,9.301222e-01,1.081255e+00
0.400000,1.584154e-01,9.226567e-01,1.081072e+00
0.410000,1.658296e-01,9.150445e-01,1.080874e+00
0.420000,1.733724e-01,9.072887e-01,1.080661e+00
0.430000,1.810403e-01,8.993924e-01,1.080433e+00
0.440000,1.888299e-01,8.913589e-01,1.080189e+00
0.450000,1.967376e-01,8.831913e-01,1.079929e+00
0.460000,2.047599e-01,8.748931e-01,1.079653e+00
0.470000,2.128931e-01,8.664676e-01,1.079361e+00
0.480000,2.211337e-01,8.579182e-01,1.079052e+00
0.490000,2.294778e-01,8.492483e-01,1.078726e+00
0.500000,2.379219e-01,8.404614e-01,1.078383e+00
