time,leapfrog_T,leapfrog_U,leapfrog_E
0.000000,0.000000e+00,1.080628e+00,1.080628e+00
0.010000,1.082656e-04,1.080628e+00,1.080736e+00
0.020000,4.330625e-04,1.080196e+00,1.080629e+00
0.030000,9.741307e-04,1.079765e+00,1.080739e+00
0.040000,1.731557e-03,1.078903e+00,1.080634e+00
0.050000,2.704476e-03,1.078041e+00,1.080745e+00
0.060000,3.893406e-03,1.076749e+00,1.080643e+00
0.070000,5.296532e-03,1.075458e+00,1.080755e+00
0.080000,6.915151e-03,1.073739e+00,1.080654e+00
0.090000,8.746153e-03,1.072021e+00,1.080767e+00
0.100000,1.079196e-02,1.069877e+00,1.080669e+00
0.110000,1.304782e-02,1.067735e+00,1.080783e+00
0.120000,1.551763e-02,1.065169e+00,1.080687e+00
0.130000,1.819465e-02,1.062607e+00,1.080801e+00
0.140000,2.108459e-02,1.059623e+00,1.080708e+00
0.150000,2.417841e-02,1.056644e+00,1.080823e+00
0.160000,2.748395e-02,1.053248e+00,1.080732e+00
0.170000,3.098953e-02,1.049857e+00,1.080847e+00
0.180000,3.470546e-02,1.046054e+00,1.080759e+00
0.190000,3.861711e-02,1.042257e+00,1.080874e+00
0.200000,4.273758e-02,1.038051e+00,1.080789e+00
0.210000,4.704894e-02,1.033854e+00,1.080903e+00
0.220000,5.156745e-02,1.029254e+00,1.080821e+00
0.230000,5.627154e-02,1.024664e+00,1.080935e+00
0.240000,6.118094e-02,1.019676e+00,1.080856e+00
0.250000,6.627016e-02,1.014699e+00,1.080970e+00
0.260000,7.156267e-02,1.009331e+00,1.080894e+00
0.270000,7.702879e-02,1.003977e+00,1.081006e+00
0.280000,8.269605e-02,9.982378e-01,1.080934e+00
0.290000,8.853022e-02,9.925146e-01,1.081045e+00
0.300000,9.456325e-02,9.864126e-01,1.080976e+00
0.310000,1.007561e-01,9.803293e-01,1.081085e+00
0.320000,1.071453e-01,9.738746e-01,1.081020e+00
0.330000,1.136867e-01,9.674410e-01,1.081128e+00
0.340000,1.204220e-01,9.606437e-01,1.081066e+00
0.350000,1.273016e-01,9.538701e-01,1.081172e+00
0.360000,1.343722e-01,9.467409e-01,1.081113e+00
0.370000,1.415788e-01,9.396384e-01,1.081217e+00
0.380000,1.489736e-01,9.321886e-01,1.081162e+00
0.390000,1.564956e-01,9.247683e-01,1.081264e+00
0.400000,1.642028e-01,9.170097e-01,1.081213e+00
0.410000,1.720280e-01,9.092837e-01,1.081312e+00
0.420000,1.800354e-01,9.012286e-01,1.081264e+00
0.430000,1.881512e-01,8.932092e-01,1.081360e+00
0.440000,1.964460e-01,8.848704e-01,1.081316e+00
0.450000,2.048395e-01,8.765705e-01,1.081410e+00
0.460000,2.134086e-01,8.679611e-01,1.081370e+00
0.470000,2.220661e-01,8.593940e-01,1.081460e+00
0.480000,2.308958e-01,8.505277e-01,1.081423e+00
0.490000,2.398035e-01,8.417071e-01,1.081511e+00
